Wall time,Step,Value
1651257632.7177684,1,2.5943498611450195
1651257664.7793162,2,0.7343649864196777
1651257697.0196695,3,0.4969593584537506
1651257728.999276,4,0.40134456753730774
1651257761.099876,5,0.32050788402557373
1651257793.1622558,6,0.24454663693904877
1651257825.284792,7,0.18664158880710602
1651257857.297166,8,0.14949990808963776
1651257889.3540993,9,0.12384092062711716
1651257921.4464939,10,0.11614039540290833
1651257953.538731,11,0.09245754778385162
1651257985.6216216,12,0.08473270386457443
1651258017.794442,13,0.07336806505918503
1651258049.8704069,14,0.06852995604276657
1651258081.869717,15,0.06387357413768768
1651258113.8504932,16,0.05764954909682274
1651258145.9430346,17,0.05522767826914787
1651258177.951967,18,0.054935719817876816
1651258210.153737,19,0.04912056401371956
1651258242.172634,20,0.052425939589738846
1651258274.1889188,21,0.04712850973010063
1651258306.215944,22,0.047733373939991
1651258338.217931,23,0.040911875665187836
1651258370.2861168,24,0.04825936630368233
1651258402.3827248,25,0.03532023727893829
1651258434.4361007,26,0.05162380635738373
1651258466.48365,27,0.037551816552877426
1651258498.6134572,28,0.033381685614585876
1651258530.7200644,29,0.03372277319431305
1651258562.7742963,30,0.03553866967558861
1651258594.8064482,31,0.027825703844428062
1651258626.85306,32,0.02797747403383255
1651258658.9154513,33,0.02908354438841343
1651258690.9903183,34,0.028324924409389496
1651258723.0964367,35,0.030929582193493843
1651258755.0975926,36,0.028654789552092552
1651258787.196988,37,0.024898793548345566
1651258819.229189,38,0.02761305868625641
1651258851.1826565,39,0.025431910529732704
1651258883.1324153,40,0.02291775681078434
1651258915.1243875,41,0.026288306340575218
1651258947.203342,42,0.02830175869166851
1651258979.2581036,43,0.02515627071261406
1651259011.282451,44,0.02301977202296257
1651259043.2485034,45,0.02312973141670227
1651259075.4169817,46,0.030635040253400803
1651259107.4978533,47,0.022860851138830185
1651259139.4519472,48,0.020861299708485603
1651259171.5407588,49,0.021295595914125443
1651259203.670965,50,0.02104168012738228
1651259235.677719,51,0.025304477661848068
1651259267.8205633,52,0.021244483068585396
1651259299.957585,53,0.01879049465060234
1651259332.0658722,54,0.01964649371802807
1651259364.0914705,55,0.028008796274662018
1651259396.261033,56,0.022051094099879265
1651259428.315263,57,0.020441321656107903
1651259460.3032155,58,0.020080242305994034
